,Aspect,BulkDensity,ClayPercentage,annualPET,aridityIndexThornthwaite,climaticMoistureIndex,continentality,embergerQ,growingDegDays0,growingDegDays5,maxTempColdest,minTempWarmest,monthCountByTemp10,PETColdestQuarter,PETDriestQuarter,PETseasonality,PETWarmestQuarter,PETWettestQuarter,thermicityIndex,OrganicCarbon,PhCaCL,Slope,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
SCCS114,0.026429943,0.055077396,0.788736457,0.933477051,0.346512485,0.237001269,-1.049618318,1.001085483,1.219711833,1.217425361,1.083959516,1.05761236,0.986485728,1.163507754,0.812680026,-0.904878393,0.514809896,0.463311335,1.187563573,-0.202359442,-0.108779239,-0.213881567,1.092094172,-0.220984569,1.000591695,-1.049119002,0.779480528,1.143421695,-1.105892197,0.967398817,0.999845504,0.946176682,1.11240893,1.068046999,1.510175331,-0.079344581,0.722884916,1.563873854,-0.040391756,0.924341175,0.366461736
SCCS115,0.023214757,-0.165517056,0.094953189,-0.469095968,-0.704466152,0.500198763,-0.050474694,-0.101947464,-0.35888894,-0.460598375,-0.07884295,-0.01095432,-0.266661536,-0.570238038,-0.454769507,0.253624267,-0.427443203,-0.420052629,-0.287571542,0.058729337,-0.064657187,0.249084544,-0.064718123,-0.743459998,-0.492578735,-0.052839666,-0.254366289,0.046085483,-0.229080608,-0.169587097,-0.074379594,-0.130988719,-0.02432461,0.194322391,0.039160183,0.384401701,-0.534021238,0.048279073,0.367887558,0.408965753,0.088608807
SCCS116,0.094201584,0.1719404,0.795165242,0.490896715,0.321207309,0.049264658,-0.788696245,0.481566611,0.776367218,0.753779986,0.746166423,0.775829757,0.749938996,0.536213618,0.570506672,-0.379236817,0.225955494,-0.038652162,0.762484958,-0.151869593,-0.001260194,-0.087240789,0.788695971,-0.48831401,0.497093392,-0.780388249,0.487876735,0.886060962,-0.93197316,0.474933211,0.784371749,0.662658034,0.811196543,0.532749976,0.80939859,-0.066831319,0.433572414,0.83985421,-0.057072725,0.281167901,0.442417416
SCCS117,0.107643941,-0.005595005,0.718146247,0.862065381,0.144638973,0.399239106,-1.097780555,1.057402994,1.179251062,1.178775131,1.077133875,1.010024756,0.960685998,1.139649886,0.614771771,-1.002208935,0.396130362,0.592898557,1.165439561,-0.148330897,-0.308980387,-0.388784026,1.07696319,-0.402879051,0.993199684,-1.094314899,0.684593239,1.160547773,-1.191255062,1.103148191,0.904196771,0.883648162,1.115133825,1.151255954,1.573284744,0.01942606,0.589370902,1.632615764,0.058090181,1.072578049,0.364922289
SCCS12,0.010505622,0.027560713,0.725130797,0.450395798,-0.467289118,0.829122798,-0.863313813,1.177458793,0.789866225,0.789593113,0.773881309,0.720119322,0.898916439,0.615605775,0.406669256,-0.705339783,0.059737344,0.146136785,0.777732185,-0.163640727,-0.214463086,0.38680569,0.782933164,-0.586283599,0.598316353,-0.84984081,0.373982974,0.894529068,-1.017422613,0.646547235,0.722982101,0.586918421,0.826914975,1.441562602,1.547644582,0.661205344,0.00919378,1.567418164,0.697091743,1.725725778,0.475215157
SCCS14,0.051677187,0.168002381,0.750557244,0.892663829,-0.373973882,0.776831159,-1.3114812,1.780868824,1.130065114,1.141627115,1.136980595,0.69124388,1.066585039,1.244620232,0.823593148,-1.320983668,0.227694231,0.483273329,1.148692245,-0.154803327,-0.589638573,0.046870295,1.028692735,-0.218290351,1.554188281,-1.300501461,0.515439959,1.207820841,-1.366991613,0.831254632,0.994616789,0.658674111,1.161828294,1.802871399,1.601275576,0.900669339,-0.078650515,1.672694413,0.985553473,1.034941394,1.178981576
SCCS141,0.136742103,0.364191902,0.357730612,0.882211684,0.219638553,-0.10742681,-1.116197079,0.434988505,0.851352577,0.868795725,0.987172002,0.372347531,0.987012576,1.116473488,0.768358553,-0.923909644,0.446678261,0.574114728,0.912231122,-0.215240308,-0.032819669,0.72347516,0.816563141,0.46659666,1.247913117,-1.117860123,0.448851238,0.933727574,-1.024250257,0.641340962,0.775473587,0.461685289,0.950249416,0.549194199,0.816737807,-0.046188269,0.588741452,0.83580618,0.004269329,0.494869311,-0.096553691
SCCS149,0.203940251,0.479916312,0.527839708,0.869037932,0.522036891,-0.341235832,-1.020177541,0.206241359,0.833009482,0.834046332,0.941606475,0.439198355,0.954860752,1.005871979,0.955115894,-0.671820012,0.535894512,0.298801966,0.87284759,-0.27904267,0.151449508,0.818988709,0.814215169,0.483532983,1.085023164,-1.023427978,0.543822868,0.912148288,-0.932565925,0.428712087,0.870723366,0.532495068,0.917845674,0.289952989,0.618670336,-0.258745856,0.732724829,0.629640522,-0.224771602,0.095735889,-0.111679646
SCCS15,0.035867641,0.362708779,0.686513385,1.000862913,0.367617362,-0.109774731,-1.114220555,0.59011443,1.054605998,1.055418982,1.044700378,0.696031988,0.980842849,1.339991185,1.04107225,-1.136905188,0.529868068,0.286787504,1.063205409,-0.289549381,-0.215153227,0.15354617,0.970693711,0.230527902,1.254446249,-1.120382074,0.692659089,1.078866037,-1.071096567,0.602073066,0.992462375,0.731980988,1.070863453,0.640991069,0.899786046,-0.272531759,0.497037951,0.851004691,-0.181532913,-0.091498403,1.0208554
SCCS152,0.480788105,0.373996634,0.70006039,0.661400802,-0.182612888,-0.204016698,-1.075748703,0.329451428,0.714671011,0.715102022,0.85376136,0.354248729,0.85882791,0.937991528,0.384485572,-1.052248667,0.154126742,0.528102746,0.775091841,-0.247830453,-0.054170774,0.123673494,0.744475402,-0.139460438,1.138222953,-1.072400366,0.237547916,0.925451705,-1.149025558,0.643288403,0.660517257,0.364448094,0.877802956,0.252982093,0.361555336,0.140641805,0.059778312,0.291902251,0.20250837,0.326647268,-0.144248539
SCCS153,0.44389348,0.493657755,0.8987898,0.928277107,-0.076878696,-0.295674386,-1.26815793,0.446435418,0.974308334,0.996655689,1.063257048,0.471935647,1.118478477,1.286036143,0.621945518,-1.354220193,0.281332221,0.60962394,1.021286947,-0.326638849,0.066460863,0.232706653,0.916074927,0.082255684,1.495414006,-1.262852528,0.373738183,1.091855186,-1.295278429,0.758685021,0.83021828,0.495395195,1.064834627,0.340680338,0.512480063,0.109930703,0.266898177,0.421772254,0.192324489,0.394074128,-0.155379226
